titles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
The Lord of the Rings: The Fellowship of the Ring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.445446720779958e-05,0.0,0.0,0.0,0.0,0.014412431364194518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.084644512573635e-05,0.0,0.0,0.0005901544802339568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010203526889691603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045745971869161627,0.0013537296358654108,0.0,0.01132963202514797,0.00039806427548108434,0.010603140753866579,0.0,0.0,0.0,0.0,0.0,0.0,0.0002825845245494976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027830178087181905,0.0,0.002174816655296247,0.0,5.722838246396189e-05,0.0,0.0,0.0,0.05825460108144521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762055941670249,0.0,0.0,0.0,0.5762055941670249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5762055941670249,0.0,0.0,0.0,0.0
Forrest Gump,0.0,0.0,0.0,0.0007015172985338232,0.0004317756066874972,0.017989499239584008,0.0,0.0020367691986340848,3.330841574118302e-05,0.00023206485183253241,0.0,0.01167595969630139,6.274990713806703e-05,0.0,0.0,0.0,0.0,0.000990355741871721,0.0,5.9977773330318326e-05,0.0,0.0,0.0,0.0,6.0271693903506784e-05,0.0,1.645244701520015e-05,0.003202136279047244,0.0,0.0001701463354926273,0.0,0.0,0.00018187142177067308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005134220605463271,0.0,0.0,0.0,0.0,0.0,0.0,5.9253721718394097e-05,0.0,0.00034209531281563694,0.0,0.0,9.211590151581684e-05,0.0,0.0,0.0,0.0001342696877781854,0.0,0.0001293066021785918,0.00020584029429913155,0.0017232059037617519,0.00047849566145983515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008910283478222331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022130750574796585,0.0005123256189501136,0.0,0.0,0.0,0.0,0.0,0.08219228574346978,0.0,0.0,0.0,0.0,0.0,0.0,0.0004322190646397442,0.0,0.0012011516651183906,0.0,0.0,0.7045430735743301,0.0,0.7045430735743301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Lord of the Rings: The Two Towers,0.0014711953111470337,0.0,0.010910462116995121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000211855054951278,0.000721742818772192,0.0,0.0,0.0,5.966814535905111e-05,0.0,0.0,0.003183707389700875,0.0,2.2283082293811753e-05,0.0,0.0,0.0,0.0,8.46842603458063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.683986356886308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017180489119177523,0.0001337829881173813,0.020979137506431104,0.0006055085109391727,0.0,0.0,0.0,0.00029920317060495725,3.261303926839224e-06,0.0001250976263248313,0.0,0.0,0.0,0.0006202974411970551,0.0,0.0,0.0,1.985830748104264e-05,0.0,0.0,0.0,0.0,0.00029637773912671823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5771848240859625,0.0,0.0,0.0,0.0,0.0,0.0,0.5771848240859625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5771848240859625,0.0,0.0,0.0,0.0
The Matrix,0.0,0.0,0.0,0.0,0.0,0.0,0.00012269000362759294,0.017728560041915864,0.0,0.0,0.0,0.0,2.019403800445605e-05,0.0,7.336329171921826e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005344333140348691,0.0,0.0,0.016773743002490005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001502500478651058,0.0,0.00754019972642271,0.0025372771830556255,0.0,0.0,0.0,9.776254061813849e-05,0.0,0.0,0.09427285348225081,0.009551852810436764,0.008107539926341134,0.0,0.0,0.002133297320279093,0.0,0.0,0.0,0.0,0.0,0.0,0.7036660489059527,0.7036660489059527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodfellas,0.0,0.0,0.0,0.013633443448527915,0.0,0.013394426021819509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029255682270531443,0.0,0.0,0.0,0.0,0.0,0.011209269097605787,0.0,0.0,0.0,0.000436097041394027,0.0,0.0,0.0,0.0,2.5712187377165457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1593902260159e-05,0.0,0.0,0.0,0.0001197907857643997,0.01187820352726709,0.0,0.0,0.0003429216714846379,0.0,0.0,0.0,0.013478285555182375,0.0010023298479328391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03647344071604175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576730608664685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576730608664685,0.0,0.0,0.576730608664685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Star Wars: Episode V - The Empire Strikes Back,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011178336581205243,0.0,0.0,0.0,3.392730883358861e-05,0.0,0.0,0.00022191296028175803,0.0,0.0,0.009693391995147887,0.0,0.0,4.6205370804281664e-05,0.00010611531611649971,0.0,0.00014733159548569797,5.458927345593182e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.850859156275608e-05,0.0,0.0,0.0,0.005670679575860263,0.0,0.0005288098847754864,0.0,0.0,0.0,9.135269027188584e-05,0.0,0.0,0.0,6.030395777355931e-05,4.104394884377477e-05,0.0,0.0001717980892655786,0.0,0.0,0.0,0.0,0.0,0.0,0.0009960558380708473,0.0,0.000717089596066513,0.0,0.0,0.0,0.0023559094175209594,0.0003746616949361304,0.0001248010425162056,0.021136836918513938,6.047306508656175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038226172472802163,0.0,0.0,0.0,0.00017701394047355755,7.4068565863202674e-06,0.0,0.0,0.0,0.0,0.0,0.0032831096177242747,0.0,0.0,0.0,0.0,0.00018759199394528236,0.0,0.0,0.0,0.0,0.0,0.0,0.5771794862205458,0.0,0.0,0.5771794862205458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5771794862205458,0.0,0.0,0.0,0.0
One Flew Over the Cuckoo's Nest,0.0,5.006084485035967e-05,0.0,0.0,0.0,0.0,0.0,0.0009780017925210503,0.0004991915487817571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007187598740724412,0.0,0.0030781996280994143,0.00013527150766647064,0.0002174744653583853,9.300098723172895e-05,0.0,0.0001593403173182744,0.00014283466224965152,0.0,1.140108054297779e-05,0.003019412464395294,0.0,0.0,0.0005173985214979612,0.00044159893583487956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005444850042113734,0.0012525186041558614,4.8422079158079e-06,0.000213400652754622,0.0,9.626578766253292e-05,0.0010045164569628367,0.0,0.0015490147961461265,0.00018292433063356797,0.0,0.0011830853812373093,0.0,0.0,0.0,0.0011626627054892361,0.00011422617500441511,0.0,0.0,0.0003670938669744272,0.0,0.00010723821317254286,0.0,0.0,0.0,0.0,0.0,0.0036226998188766198,0.0,0.0,0.0,0.00011352917016534215,0.0,0.0015132815312754412,0.0,0.0017872970690342685,0.0,0.002003491775617011,0.0,0.0,0.0,0.00028713640598654875,0.0,0.0,0.0,0.0,0.0025778586059553854,0.0,0.0,0.0,0.0014578673508225822,1.3094865524824213e-05,0.002666203371364692,0.0029124023800939157,0.0,0.0,0.0005046875674546466,0.0,0.0296590518668666,0.0,0.0,0.999521802613283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interstellar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009553027286712115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003048054904591744,0.0008932874833143817,0.0040694222706926355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0374237639438032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07948232248999036,0.0,0.0,0.00048677891218376287,0.0,0.0,0.0,0.002377028855400207,0.0,0.0,0.0,0.5750847542426867,0.0,0.0,0.0,0.0,0.5750847542426867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5750847542426867,0.0,0.0,0.0,0.0
Saving Private Ryan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004069048288579513,0.0,0.0,0.0,0.0,0.0,0.0009325623063049966,0.0,0.0,0.0,0.0,0.00016421021767540296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.518390545500223e-06,0.006492507707250602,0.0,0.0,0.0,0.0,0.0,0.012006209078074696,0.0,0.0,0.013479174431293331,2.0142902319871986e-05,0.01147106028994594,0.0010818930948570673,5.858106849703788e-05,0.0,0.0006949625025994561,0.0,0.0,0.0,0.0,0.0,0.0,0.001227734674153943,0.0,0.0,0.0,9.983446447269886e-05,0.001834949275984256,0.0,0.0,0.0,0.0,0.00017758025670124041,0.0008610730635240039,0.0,0.0,0.00019073635295088951,0.0,0.0,0.0,0.0,0.0,0.0007049771466631336,0.0,0.0,0.0,0.0,0.002209777582132015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004225379514446746,0.0,0.0,0.0,0.0,0.0,0.0010578266346320331,0.013725548087022614,0.0,0.0002836046321685708,0.0,0.0,0.7068523436233621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7068523436233621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Green Mile,0.0,0.0,0.0,0.018290999732938674,0.0,0.017915477013778644,0.0,0.0,0.0,0.0,0.0,0.0125142815980846,0.0,0.0,0.0,0.0,0.015672782394071036,0.0,0.0,0.0,7.761617084692502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.449219973577992e-05,0.0,0.0,0.0,0.0,0.0,0.011357626936095684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012409273909465595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050246485668669794,0.0,0.0,0.0,0.0,0.0,0.05936825872474119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5752129858965116,0.0,0.0,0.0,0.0,0.0,0.0,0.5752129858965116,0.5752129858965116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
